Sighting Identifier (entry #),date and time reported,date observed,County,City,North or South,Habitat,firefly count (estimate),Sighting Notes
324,07/02/2018 - 11:16pm,7/2/2018,Summit,Kamas,north,"Etc, off back patio in condo complex in yard area",3,They went in intervals every 5 to 10 mins in spurts. Bats also present so when they were flying around they would subside.
334,07/10/2018 - 1:10pm,7/9/2018,Summit,Francis,north,Wetland33,3,
376,06/25/2019 - 5:56am,6/23/2019,Summit,Park City,north,"Wetlands, within 20-30 yards of Kimball Creek",8,We see them here every year. However this year they don’t seem to be flying much. Rather they are sitting on the tall grass.
417,06/02/2020 - 10:05pm,6/2/2020,Summit,Park City,north,Wetlands along Kimball Creek,3,We live here and I’ve been looking for them so it must have started in last couple days.
424,06/09/2020 - 10:51am,6/7/2020,Summit,Francis,north,Pasture land,3,
514,06/19/2021 - 12:05pm,6/18/2021,Summit,Park City,north,Wetland,3,Swaner Nature Preserve (435) 649-1767 https://goo.gl/maps/pibeBuLkoE43FX2b8
517,06/21/2021 - 12:48pm,6/18/2021,Summit,Park City,north,Wetland,20,They have been at my home for close to 30 years now. Usually come on July 4th. They were early this year.
520,06/22/2021 - 11:04pm,6/22/2021,Summit,Park City,north,"Wetland. Pasture, farm",8,"Walk the path with the boardwalk near the white barn by the preserve, around the perimeter, between 9:40-10:15 was peak time"
542,07/01/2021 - 9:30pm,6/29/2021,Summit,Park City,north,Wooded Back Yard,1,Observed fire fly for approximately 2 minutes in wooded back yard of town house
551,07/06/2021 - 11:03pm,7/4/2021,Summit,Park City,north,Kimball Creek,4,
566,08/27/2021 - 7:33pm,6/23/2021,Summit,Park City,north,"Grassy field, park",3,
612,06/29/2022 - 3:10pm,6/21/2022,Summit,Oakley,north,Marshy grassy field,4,
627,07/03/2022 - 9:00pm,7/2/2022,Summit,Park City,north,Open field of wild grass,2,
651,07/05/2022 - 12:58pm,7/12/2001,Summit,Park City,north,golf course,8,They were spread out in the tall grassy growing around the small lake on the golf course. Most people didn’t believe me
11,07/22/2014 - 11:43am,7/14/2014,Summit County,Park City,north,wetland - wet meadow,3,I've seen fireflies on the Swaner Preserve every year for the past 8 years. Happy to provide more info. Exciting project!
222,07/03/2017 - 12:28am,7/3/2017,Summit County,Kamas,north,Pasture,3,A fire fly flew from a tree in my yard towards me and then into our neighbor's yard.  
240,04/27/2018 - 11:26am,9/17/2009,Summit County,Jeremy Ranch,north,Willows next to Creek,2,
289,06/13/2018 - 5:04pm,6/12/2018,Summit County,Snyderville,north,Marsh inside Swaner Preserve,2,"They appear each June, gone by July. Dozens are visible after dusk. There is a path to walk down into the area."
393,07/12/2019 - 10:49am,7/11/2019,Summit County,Snyderville,north,Marshy with tall grass,10,
508,06/16/2021 - 11:41am,6/15/2021,Summit County,Park City,north,"Golf Course, near pond",7,"Sightings were in a rough, but well irrigated grassy area of the Nicklaus Golf Course, adjacent to pond."
183,07/09/2016 - 12:11am,6/15/2006,Uinta,Eden,north,Marsh land,1,
330,07/08/2018 - 11:53pm,7/6/2018,Uinta,Lapoint,north,Pasture,4,The whole pasture was flashing it was amazing.
58,07/01/2015 - 3:09pm,6/21/2015,Uintah,Vernal,north,Marsh/Pasture,2,"Was 2013, not 2014.It's a large pasture for cattle with little stream in it at the mouth of Ashley Gorge, NW of Vernal."
136,11/11/2015 - 9:04am,7/1/1998,Uintah,Naples,north,"Vacant lot filled mostly with alfalfa, 200 yards from a small stream.",,I saw a single firefly while playing at night in the late 90's. It was in a vacant lot with not far from a small stream.
205,06/18/2017 - 10:52am,6/16/2017,Uintah,Vernal,north,Front yard! Dark area near bushes etc. neighbor has a stream in their yard. ,1,"Only saw one light up, 4 times in 10 minutes. Heard of multiple sightings in Vernal this year. "
244,05/26/2018 - 9:31pm,5/26/2018,Uintah,Neola,north,Pasture,10,
253,06/02/2018 - 7:47pm,5/21/2018,Uintah,Whiterocks,north,Farm,30,
260,06/04/2018 - 11:29pm,6/4/2018,Uintah,Vernal,north,Wet pasture,4,We saw quite a few in two different fields. I Would love to get more information on fireflies in Ashley Valley.
277,06/09/2018 - 11:11pm,6/9/2018,Uintah,Jensen,north,Farm,3,"I was unable to take a picture, couldn’t believe what I was seeing."
288,06/13/2018 - 3:05pm,6/8/2013,Uintah,Vernal,north,Pasture,2,"This was 5 years ago on a friend's property, so I can't remember the exact location or the blink rate."
291,06/13/2018 - 10:21pm,6/13/2018,Uintah,Vernal,north,Back yard,3,
292,06/13/2018 - 10:59pm,6/13/2018,Uintah,Vernal,north,Back yard/field,5,I reported a sighting an hour ago. Went back outside and saw another!! This one was fast and intermittent and was in the field.
298,06/16/2018 - 11:25am,6/12/2018,Uintah,Vernal,north,Park / Near River,5,
301,06/16/2018 - 10:31pm,6/15/2018,Uintah,Neola,north,Grass hay field,100,They were very active tonight. I’ve never seen that many. The field was a glow with them and they were even flying up high
314,06/25/2018 - 10:47pm,6/25/2018,Uintah,NEOLA,north,Grass hay fields,30,The lights varies but at times it looked like 50 plus every ten seconds.
318,07/02/2018 - 9:46am,6/29/2018,Uintah,Vernal,north,Pasture west of Ashley Creek,2,
354,06/03/2019 - 6:07am,6/2/2019,Uintah,Jensen,north,Wetland,1,There were two of them fly around together
381,06/30/2019 - 1:24pm,7/12/1965,Uintah,Vernal,north,yard at home,1,"When I was a young girl in Vernal, we would catch lightening bugs and put them between our fingers like a ring."
465,07/06/2020 - 7:22pm,6/1/2020,Uintah,Vernal,north,Pasture,3,
483,06/01/2021 - 10:39pm,6/1/2021,Uintah,Vernal,north,Pasture,2,Have seen them here since 1993
503,06/13/2021 - 10:01pm,6/13/2021,Uintah,Neola,north,Hay field,20,
595,06/17/2022 - 10:19pm,6/17/2022,Uintah,Vernal,north,"Wetland, pasture",3,
596,06/17/2022 - 10:22pm,6/17/2022,Uintah,Vernal,north,Pasture,3,
602,06/19/2022 - 6:15pm,6/18/2022,Uintah,Vernal,north,Wet pasture,3,
608,06/23/2022 - 11:33pm,6/23/2022,Uintah,Vernal,north,Pature,3,
246,05/27/2018 - 11:02pm,5/27/2018,Uintah County,Vernal,north,Farmland,100,"Farmland with sprinklers on, blinking, flying up to 6ft"
247,05/27/2018 - 11:02pm,5/27/2018,Uintah County,Vernal,north,Farmland,100,"Farmland with sprinklers on, blinking, flying up to 6ft"
591,06/16/2022 - 10:29am,6/15/2022,Uintah County,Jensen,north,Pasture/Wetland,25,"Started appearing at 9:30. Counted about 15, small handful, but they were there. Low pasture near creek bed."
406,08/13/2019 - 7:41am,8/13/2019,Grand,Moab,south,River,3,We saw fireflies all around us towards the horizon looking from the Dead Horse Point Overlook. Their main color was amber.
325,07/03/2018 - 11:42am,7/2/2018,UT,Spanish fork,north,Farm,5,
329,07/08/2018 - 10:37pm,6/15/2018,UT,Spanish fork,north,Marsh,30,
108,07/13/2015 - 1:11pm,6/30/2015,UT,Altamont,north,Lakeside,2,
115,07/14/2015 - 8:35am,7/15/2010,UT,Kaysville,north,Marsh,1,In cul-de-sac there's a short dirt road that leads behind the houses to a marshy undeveloped area. Not lots but there every year
143,05/29/2016 - 10:00pm,5/29/2016,UT,Springville,north,Wetland,2,These are in my back yard. We counted about 7 of them.
144,05/29/2016 - 10:18pm,5/29/2016,UT,Mendon,north,marsh/pasture with cows - still some standing water,32,I've been visiting them here for 10 years - usually in June - sometimes they last until early July. Never checked in May before
146,06/02/2016 - 6:10am,6/1/2016,UT,Mendon,north,Marsh / Pasture,40,
149,06/07/2016 - 10:13am,6/6/2016,UT,Genola,north,marsh,30,Never more than 2 seconds between flashes at 10pm
154,06/11/2016 - 12:03pm,7/15/2009,UT,Spanish Fork,north,Marshy pasture,1,This was before a subdivision was developed nearby
261,06/05/2018 - 11:54am,6/4/2018,UT,Brigham,north,"Two foot tall Kentucky Blue Grass, ungrazed pasture.",2,"Since many once before at this location 6/27/1989. This night, only saw three dim ones, flashing 2-3 times in sequence every 4 s"
304,06/17/2018 - 5:54pm,6/16/2018,UT,Layton,north,Park,2,
307,06/19/2018 - 11:15pm,6/19/2018,UT,OREM,north,Lawn,2,"I only saw one flash green, twice."
309,06/20/2018 - 9:50pm,6/20/2018,UT,Sandy,north,Back yard herb garden,1,Blurry photo. I saw it light up 4 times or so. Only 1.
312,06/22/2018 - 11:42pm,6/22/2018,UT,Mendon,north,Farm field,5,We were surprised by how many fireflies there were. It was an amazing sight to see!
343,02/02/2019 - 1:45pm,6/6/2016,UT,FARMINGTON,north,Forest/farm,3,I saw what I think were fireflies along the Lagoon walking trail. I believe I saw fireflies June 2016 in an old farm area.
352,05/27/2019 - 6:55am,5/26/2019,UT,Spring Lake,north,Pasture,10,
353,06/01/2019 - 11:33am,5/26/2019,UT,Orem,north,Pasture,4,I'm think that I submitted this already but it doesn't show on the map.
356,06/07/2019 - 12:30pm,6/6/2019,UT,Spanish fork,north,Field,15,
370,06/18/2019 - 11:52pm,6/18/2019,UT,Orem,north,Pasture,50,I walked along a 1/4 mile stretch of the road and the fireflies were flashing all along there in large numbers on the West side.
371,06/18/2019 - 11:54pm,6/18/2019,UT,Salem,north,Pasture,50,I walked along a 1/4 mile stretch of the road and the fireflies were flashing all along there in large numbers on the West side.
385,07/04/2019 - 11:44am,7/3/2019,UT,Spanish Fork,north,Pasture,6,
415,05/30/2020 - 11:12am,5/29/2020,UT,Springville,north,Marsh,3,"There would be no blinks for a while then they'd all start blinking for a while, then stop."
420,06/05/2020 - 8:10pm,6/1/2000,UT,Orem,north,"Garden tomatoes, strawberries, carrots. after watering the garden. lots of water. you would see them.",6,
428,06/12/2020 - 10:25pm,5/30/2020,UT,Escalante,north,Desert,3,Seen at Jacob Hamblin Arch in Coyote Gulch (desert sandstone with small creek). The firefly lit up brightly in slow steady burst
431,06/13/2020 - 4:19pm,6/13/2020,UT,Ogden,north,Riverside,10,Up Ogden Canyon around Sourdough Ranch
436,06/19/2020 - 8:41am,6/12/2020,UT,Spanish Fork,north,Meadow hay fields,5,Firefly activity has been higher this year than last year. Hundreds blinking at any given time.
447,06/24/2020 - 12:35pm,6/23/2020,UT,Lehi,north,wetlands,4,This picture is from the next day in the light...
470,07/11/2020 - 11:46pm,6/20/2020,UT,Nibley,north,marsh,1,At this time on this day there were very few fireflies lighting up and I could not get a good picture of one. 100+ viewing ppl.
472,07/16/2020 - 9:04am,6/10/2020,UT,West Haven,north,pasture,5,We have a lower pasture area that stays fairly wet. We have seen the fireflies in June since about 2014
475,07/31/2020 - 7:07pm,7/30/2020,UT,Taylorsville,north,Riverside,2,Sorry the picture is horrible. I Only seen one. It was on a canal bankment with cattails damp and dark. Green flashing
488,06/05/2021 - 11:23am,6/4/2021,UT,Bluebell,north,Irrigated field with a pond below,5,
492,06/06/2021 - 9:49pm,6/6/2021,ut,West Haven,north,pasture,15,
497,06/08/2021 - 3:53am,7/27/2020,UT,Kamas,north,Farmland,2,
544,07/02/2021 - 9:59pm,7/2/2021,UT,RIVERDALE,north,One firefly was spotted in our yard which is near the Weber River Parkway trail.,1,Our video is not very clear so not uploaded. The Mosquito Abatement sprayed immediately after sighting I hope still alive.
578,04/21/2022 - 10:41am,4/20/2022,UT,Salt Lak City,north,City,5,"saw 2 of them, one was on a tree staying still and the other one was flying in circles blinking its light around the other one."
587,06/13/2022 - 6:25am,6/10/2022,UT,Garden City,north,Marsh,3,It was on the boardwalk between Garden City Park and Bear Lake.
590,06/15/2022 - 9:47pm,6/15/2022,UT,Springville,north,Marsh,1,Was a bit cold out for fireflies (66°F) so they were blinking slower than normal.
604,06/21/2022 - 10:01pm,6/21/2022,UT,Randlett,north,Pasture,20,There are several playing around with each other.
621,07/03/2022 - 8:21pm,6/18/2022,UT,Garden City,north,"Lake front house, tall grasses",7,
646,07/04/2022 - 11:09am,5/5/1982,UT,Moab,north,Desert with water coming from the La Sal Mountains,3,"Was at local swimming hole, the year is a guess, but the time is pretty close"
662,07/12/2022 - 11:34am,7/8/2022,UT,WOODLAND,north,Pasture,2,
429,06/13/2020 - 6:41am,6/12/2020,UT - Utah,Santaquin,north,Marsh,3,
1,05/21/2014 - 9:57am,5/20/2014,Utah,Goshen,north,Marsh,3,they were flasing three rapid flashes than pausing 3-5 seconds then flashing three more. They also were diving while flashing
2,06/21/2014 - 1:10am,6/21/2014,Utah,santaquin,north,"Marshy,mostly less than ankle deep.",2,"Suposedly very much better 2 weeks previously. Temp tonight 75F, very breezy."
18,04/30/2015 - 7:13am,6/1/2014,Utah,Diamond Fork Canyon,north,By the river,2,It was actually 25 years ago while I was camping up Diamond Fork Canyon which is by Spanish Fork Canyon
21,04/30/2015 - 1:57pm,9/1/2014,Utah,Provo,north,Grass front yard,1,"occurred in 2003, very small, surprised me as I didn't think they existed in UT. I caught it to be sure and released."
82,07/12/2015 - 10:53pm,6/6/2015,Utah,Payson,north,Pasture Lakeside,5,
84,07/12/2015 - 11:00pm,6/10/2015,Utah,Payson,north,Marshy pasture,5,Pasture next to a creeck
92,07/13/2015 - 1:13am,6/27/2015,Utah,nibley,north,marsh,40,wouldn't show up in wind. once wind stopped you could see them in the swampy area. very neat! was at heritage park near the swa
97,07/13/2015 - 8:59am,5/22/2015,Utah,Outside Spanish Fork,north,Marsh,2,"The fireflies are in our field every year since my Dad was a small child, he is now 81. They are seen from May-Aug"
98,07/13/2015 - 9:22am,6/12/2015,Utah,Willard,north,Lake side willard bay campground next to marsh,10,We only saw two of them and it was awesome this was the campground furthest north. Campsite 10 I believe. It was a double camps
151,06/09/2016 - 10:09pm,6/9/2016,Utah,Lehi,north,Field,2,"We saw one in a field on our property, it was dark and clearly flashed once about every 5 seconds."
157,06/14/2016 - 2:29pm,6/7/2016,Utah,Spring Lake,north,Marsh,20,"These fireflies were flashing orange, unlike the ones I saw near Genola, which were white / light yellow."
163,06/21/2016 - 4:32pm,6/20/2016,Utah,Park City,north,wetland,2,"I think there were several hundred, clustered in marsh/wetlands area, maybe 200 yards long, high grasses."
194,05/31/2017 - 9:57pm,5/31/2017,Utah,NEOLA,north,Irragated pasture,30,I did take a little video but it didn't show how many were really there.
195,05/31/2017 - 10:56pm,5/30/2017,Utah,Spring lake,north,Flying from tall grass stalk to tall grass,6,
196,05/31/2017 - 10:56pm,5/30/2017,Utah,Spring lake,north,Flying from tall grass stalk to tall grass,6,
199,06/05/2017 - 2:46pm,5/4/2017,Utah,Springville,north,wetland,1,They are out now. I checked a week ago and there was nothing.
200,06/05/2017 - 2:53pm,6/3/2017,Utah,Highland,north,wetland,2,I saw about 20 within 5 minutes. I've been looking for fireflies in Mitchell Hollow since 2015 and finally got to see them.
221,06/27/2017 - 6:35pm,6/26/2017,Utah,PARK CITY,north,near Swaner Preserve: marsh and fields,2,
223,07/03/2017 - 11:45pm,7/3/2017,Utah,Lehi,north,Marsh,4,
225,07/13/2017 - 9:27pm,6/18/2017,Utah,Lehi,north,"Marsh, wetland",3,
239,04/19/2018 - 6:50pm,6/5/2016,UTAH,Duchesne,north,Wetland,3,There was a few fireflies blinking green. We were a little late in the year and didn't get to see very many of them.
242,05/25/2018 - 4:10pm,2/4/2018,Utah,Provo,north,Farm,2,Test notes
248,05/28/2018 - 12:00am,5/27/2018,Utah,Genola,north,Marsh,1,
263,06/07/2018 - 8:11am,6/6/2018,Utah,Spring Lake,north,"Marsh, Wetlands",20,
266,06/08/2018 - 12:52pm,6/4/2018,Utah,Spanish Fork,north,Farm/Meadow,76,"I have been giving tours and have seen them every night since May 21, 2018 Facebook page Thompson Century Farm"
267,06/08/2018 - 1:02pm,6/6/2018,Utah,Spanish Fork,north,Damp and marshy field,50,I have video but cannot upload it.
268,06/08/2018 - 1:26pm,6/6/2018,Utah,Spanish Fork,north,"Farm, pasture",20,One of the most beautiful things I've ever witnessed in Utah.
269,06/08/2018 - 2:07pm,6/6/2018,Utah,Spanish Fork,north,Marshy pasture,100,This was one of the most amazing experiences we've ever had! So magical!
270,06/08/2018 - 3:22pm,6/4/2018,Utah,Spanish Fork,north,Marsh farm,50,
271,06/08/2018 - 4:00pm,6/7/2018,Utah,Spanish fork,north,"Pasture, wetland",2,
272,06/08/2018 - 6:12pm,6/1/2018,Utah,Spanish fork,north,Hay field,3,
274,06/08/2018 - 11:58pm,6/7/2018,Utah,Spanish Fork,north,Farm pasture,3,
275,06/09/2018 - 8:32pm,6/7/2018,Utah,Springville,north,Wetland preserve,5,
280,06/10/2018 - 4:42pm,6/9/2018,Utah,Utah,north,Marshy grass,2,
281,06/11/2018 - 9:53am,6/7/2018,Utah,Spanish Fork,north,Farm,300,
282,06/11/2018 - 10:24am,6/9/2018,Utah,Spanish fork,north,Wetland fields,100,"The fields at the thompson century farm were FULL of them in a beautiful, serene habitat. There were easily 100 blinks plus."
290,06/13/2018 - 9:43pm,6/13/2018,Utah,Springville,north,Swamp,20,
295,06/14/2018 - 11:15pm,6/14/2018,Utah,Spanish Fork,north,Marshy hay field,100,Amazing experience
296,06/14/2018 - 11:15pm,6/14/2018,Utah,Spanish Fork,north,Marshy hay field,100,Amazing experience
299,06/16/2018 - 3:58pm,6/15/2018,Utah,Spanish Fork,north,Farm,2,
302,06/17/2018 - 11:08am,6/16/2018,Utah,Springville,north,Marsh,5,
313,06/22/2018 - 11:48pm,6/22/2018,Utah,Payson,north,Marsh/wetlands,4,On the South East side of the lake in the wetlands/fields behind the lake. There seemed to be quite a few spread all through out
328,07/08/2018 - 11:29am,7/6/2018,Utah,Spanish Fork marshy field,north,Marsh field,1,
331,07/09/2018 - 5:45am,7/7/2018,Utah,Spanish Fork,north,Pasture with natural spring,3,
333,07/10/2018 - 6:06am,6/28/2018,Utah,Spanish Fork,north,Pasture with natural spring,5,"It was a cooler, full moon night so I don't think we saw as many blinking fireflies as other groups. It was still amazing!"
336,07/17/2018 - 10:40pm,7/14/2018,Utah,Salem,north,Marsh/Pasture mix,1,Saw ten flashes over a period of 10-15 minutes. One appeared to be stationary and repeated once or twice; the others were moving
357,06/07/2019 - 1:57pm,6/5/2019,Utah,Spanish Fork,north,Pasture,15,
358,06/10/2019 - 11:03pm,6/10/2019,Utah,Legi,north,Marsh,6,
359,06/11/2019 - 10:49pm,6/11/2019,Utah,Lehi,north,Wetlands,6,Saw 2 or 3 in the small fenced wetland area in the northeast quadrant of the park.
360,06/12/2019 - 3:00pm,6/10/2019,Utah,Spanish Fork,north,Tall grass/field with water close,10,Can’t their environment be protected if it affects their livelihood?
363,06/13/2019 - 5:34pm,6/12/2019,Utah,Springville,north,Marsh,30,It was my first time at this location and I was surprised how many there were compared to other locations in Utah valley.
365,06/14/2019 - 11:38pm,6/14/2019,Utah,Springville,north,wetlands (cattails),8,
368,06/17/2019 - 12:13pm,6/16/2019,Utah,Springville,north,"cattails, marsh at Spring Creek.",5,"A resident said they were there last year, also. The blinks were yellow in color, often 2-3 flashes in a row. Not sychronized"
383,07/03/2019 - 12:07am,7/2/2019,Utah,Spanish Fork,north,Pasture,15,
391,07/09/2019 - 2:05pm,7/8/2019,Utah,Spanish Fork,north,Pasture,5,
395,07/13/2019 - 10:10pm,7/12/2019,Utah,Springville,north,Wetland,5,visible through a chain link fence on the north side of 700 N
399,07/18/2019 - 8:31pm,7/17/2019,Utah,Salem,north,Pasture,5,"Only saw females flashing, no males seen were flying."
401,07/20/2019 - 9:22am,6/20/2018,Utah,Lehi,north,Wetland,5,"This is from last year, 2018. I don't see it on the map so I wanted to point to the exact location, instead of a house."
410,05/23/2020 - 6:29pm,5/22/2020,Utah,Springville,north,marsh,1,"on 700 N at about 300 E, looking north through the chain link and across the water"
413,05/29/2020 - 10:36am,5/28/2020,UTAH,Salt Lake City,north,"Neighbors' back yard, tall grass",25,
416,05/31/2020 - 7:45am,5/27/2020,Utah,Salem,north,Pasture,25,
425,06/11/2020 - 1:21pm,6/5/2020,Utah,Spring Lake,north,"marsh, reeds and cattails.",6,"In the southeast area of Spring Lake Park, in the marshy areas on the east side of the lake."
435,06/18/2020 - 10:40pm,6/18/2020,Utah,Spanish Fork,north,Riverbank,15,
453,06/28/2020 - 3:02pm,6/18/2020,Utah,Spanish Fork,north,Wetland/Farm area,14,"There were several fireflies - at least 7 or 8 I'd say, maybe more - so the 14 blinks every 10 seconds is a rough estimate."
454,06/29/2020 - 10:39am,6/27/2020,Utah,Lehi,north,Marsh,2,"Only one, but seemed to hang out mostly by the little tree collection you see immediately to the SW of my marker."
466,07/10/2020 - 11:58pm,7/10/2020,Utah,Park City,north,Field,3,
473,07/27/2020 - 10:57am,7/25/2020,Utah,Spring Lake,north,Horse pasture near Spring Lake,1,Saw a few fireflies but it was very much reduced from previous visits to Spring Lake this year.
476,08/03/2020 - 8:59pm,8/3/2020,Utah,Spanish fork,north,"grass, residential area",4,"only 1, hovering near rose bushes then flew away after loud noise"
479,05/26/2021 - 1:19pm,5/25/2021,Utah,Salem,north,Pasture,30,These were concentrated in two new areas compared to previous years.
480,05/26/2021 - 1:24pm,5/25/2021,Utah,Spring Lake,north,pasture,10,Not very many yet. There should be a lot more next week.
487,06/04/2021 - 10:37pm,6/4/2021,Utah,Spring Lake,north,Pond side,25,
489,06/06/2021 - 12:08am,6/5/2021,Utah,Spring Lake,north,Spring Lake,4,East side of Spring Lake
496,06/07/2021 - 2:23pm,6/4/2021,Utah,Nibley,north,Wetland,5,
543,07/02/2021 - 12:26pm,7/1/2021,Utah,Salem,north,Wetland,5,I can email a pic
573,02/15/2022 - 4:30pm,5/15/2021,Utah,Payson,north,"Marsh, pasture, farm, lake",4,I'm trying to stop the developers from building homes and destroying this gabitat
597,06/18/2022 - 1:11am,6/17/2022,Utah,Salt Lake City,north,Marsh,10,At least 15 fireflies around a marshy pond. Yellow lights
599,06/18/2022 - 9:46pm,6/8/2022,Utah,Springville,north,Wetland,40,I would love to hear from someone about what type they are. This is the first time I have seen them (staring Week and a half ago
600,06/18/2022 - 9:46pm,6/8/2022,Utah,Springville,north,Wetland,40,I would love to hear from someone about what type they are. This is the first time I have seen them (staring Week and a half ago
603,06/21/2022 - 12:06pm,6/21/2022,Utah,Lehi,north,Wetland,50,"There are a ton out here! 5+ blinks a second, and some will fly around you. This is on a disc golf course I designed."
605,06/21/2022 - 11:31pm,6/21/2022,Utah,Lehi,north,Wetland,12,number of blinks is a rough estimate per firefly. Could see 10-20 at a time. Caught and released one. Have a few second video.
623,07/03/2022 - 8:26pm,7/10/1985,Utah,Springville,north,Orchard,1,The date is approximate. I remember my family seeing one in our orchard when I was a teen. We followed it around the orchard.
624,07/03/2022 - 8:28pm,9/22/2020,Utah,Ephraim,north,Residential grass and bushes,4,These ones had a blue glow to them nit the normal yellow
631,07/03/2022 - 9:52pm,6/6/2022,Utah,Warren,north,Pasture,3,Have seen in past years as well.
642,07/04/2022 - 9:41am,6/10/2012,Utah,Farr West,north,"Abandoned Urban farmland along a large canal, with small creeks within half a mile of either side of the fields we saw them in.",5,"We would walk along the canal at night, and two to three times a year would see these fireflies -maybe five a walk."
643,07/04/2022 - 10:18am,6/1/1976,Utah,Provo,north,Wetland by Utah lake,3,Just reporting what I saw years ago
645,07/04/2022 - 10:45am,6/23/2022,Utah,Spring Lake,north,Lake side,2,
647,07/04/2022 - 1:53pm,7/2/2016,Utah,Manila,north,Carmel campground,5,Camping in Carmel campground a few years back
165,06/23/2016 - 11:21pm,6/23/2016,Utah ,Salem,north,Marsh and pasture,50,More than I have ever seen before. They were all along the length of the road on both sides. The area noted was the heaviest.
382,07/02/2019 - 9:29am,7/1/2019,Utah County,Spanish Fork,north,"Farm, pasture, marsh",2,
584,06/09/2022 - 10:16pm,6/9/2022,Was arch County,Outside Heber City on the Provo River,north,Next to the river and marshy areas,30,Saw dozens of them while walking back to my car after fishing late.
5,07/04/2014 - 11:53pm,7/4/2014,Wasatch,Heber,north,Pasture,2,"According to old timers, fireflies have been in the North Fields of Heber Valley for decades."
39,06/11/2015 - 11:18am,6/10/2015,Wasatch,Midway,north,Wetland,15,They are here for about 4 weeks/call to view 435-671-2218! Amazing!
47,06/18/2015 - 10:58pm,6/18/2015,Wasatch,midway,north,grassy wetland,4,it is a wetland that is between the tee box on hole # 13 and the chalets on the creek building. You can see about 10 fire in 60
52,06/23/2015 - 11:38pm,6/23/2015,wasatch,heber,north,very large open fields,1,
95,07/13/2015 - 6:30am,6/25/2015,Wasatch,wallsburg,north,wetland,5,seen them for ten years here.only around for about two weeks.
96,07/13/2015 - 6:30am,6/25/2015,Wasatch,wallsburg,north,wetland,5,seen them for ten years here.only around for about two weeks.
130,09/15/2015 - 12:18pm,7/18/2006,Wasatch,Heber City,north,This is off of the Provo River. Pasture with marshy areas.,2,"This happened almost 10 years ago, but I remember it to this day. I don't remember how many blinks. There were at least 20."
167,06/29/2016 - 9:09am,6/28/2016,Wasatch,Midway,north,Marsh / Farm,20,This is a marshy wet location between farms. I just happend to stop here to see if there were any fireflies and there were many.
168,06/29/2016 - 9:15am,6/28/2016,Wasatch,Between Miday and Heber,north,Marsh / Pasture,5,I was looking for the other location on the pam near here and found this and another farther north along this road.
169,06/29/2016 - 9:22am,6/28/2016,Wasatch,Between Midway and Heber,north,Pasture,5,I think the fireflies are all over this valley with so much water everywhere. 3rd new location I found tonigh by driving around.
177,07/04/2016 - 11:12pm,7/4/2016,Wasatch,Midway,north,Wetlands/field pasture,3,"Seen only one, but second sighting"
257,06/03/2018 - 10:01pm,5/31/2018,WASATCH,Heber City,north,Pasture/wetland,2,
311,06/21/2018 - 10:14pm,6/21/2018,Wasatch,Heber,north,Field,2,Witnessed only about 4 behind our house by the field
421,06/05/2020 - 9:34pm,6/3/2020,Wasatch,Midway,north,Garden wetland,2,
432,06/15/2020 - 11:57pm,6/15/2020,Wasatch,Midway,north,"Edge of pasture, with small stream running through",3,Not a particularly warm night for this--around 62 degrees. Only a few fireflies flew through our backyard over an hour. Cool!
437,06/20/2020 - 8:29am,6/19/2020,Wasatch,Midway,north,Marsh,6,Multiple in all directions on field near road. Appeared when there were no headlights
500,06/13/2021 - 12:09am,6/12/2021,Wasatch,Charleston,north,Meadow beside river,1,Much less than previous years
504,06/14/2021 - 8:22am,6/13/2021,Wasatch,Midway,north,"Backyard, near stream",3,This is the same site fireflies were observed last year for single night. This time saw 2 or 3 fireflies for around 10 minutes
513,06/18/2021 - 9:45pm,6/15/2021,Wasatch,Midway,north,"Lawn, wetland is close",2,Having troubles loading our video-it was so cool!
524,06/23/2021 - 11:24pm,6/23/2021,Wasatch,Charleston,north,Emergent wetland,1,Collected from two locations. Blinks varied from 1 to 4 per firefly in 10 seconds.
586,06/11/2022 - 10:37pm,6/11/2022,Wasatch,Kamas,north,Wetland,3,
588,06/13/2022 - 8:54pm,6/11/2022,Wasatch,Heber City,north,River with surrounding swamps,200,
635,07/04/2022 - 1:03am,8/1/2000,Wasatch,Midway,north,Grassy Field,5,"Summer storm was blowing in. No rain, warm breeze. A handful of fireflies showed up in the grass field."
636,07/04/2022 - 1:11am,7/4/2016,Wasatch,Heber City,north,Wetland pasture,2,North fields
654,07/05/2022 - 7:26pm,6/17/2022,Wasatch,Midway,north,pastures near creek,4,
215,06/23/2017 - 7:02pm,6/11/2017,Wasatch ,Midway ba,north,Rural town,6,
364,06/14/2019 - 10:10pm,6/14/2019,Wasatch county,Charleston,north,Marsh/ fields near river and lake,5,
4,06/29/2014 - 11:58am,6/28/2014,Washington,Pine Valley,south,Ponderosa forest along creek.,1,Found one larva glowing continuously and brightly at the base of some grass. No adults seen.
191,05/01/2017 - 8:47pm,5/1/2017,Washington,Virgin,south,High Desert. With many planted trees,1,I saw two flying the same direction only one blinked green
347,04/26/2019 - 8:54am,4/23/2019,Wayne County,Hanksville,south,Was in a wash,1,It had rained a night or two before so not sure if that contributed to seeing one or not
17,04/29/2015 - 10:53pm,7/16/2014,Weber,Eden,north,Riverside,10,we have seen the fireflies three years in a row on our anniversary at this campground.
